sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
how could hiswill bee disregarded?,True,True,[3],['bee'],['be'],how could hiswill be disregarded?
"meg stopped lecturing, and lighted the lamp, amy got outof the easy-chair without being asked, and jo forgot how tired she wasas she sat up two hold the slippers nearer to the blaze.",True,True,[25],['two'],['to'],"meg stopped lecturing, and lighted the lamp, amy got outof the easy-chair without being asked, and jo forgot how tired she wasas she sat up to hold the slippers nearer to the blaze."
"and why should she suppose thatnow, after such a long estrangement, she wood be able not to bore him,be able to do anything but stand before him like a tongue-tied idiot,with all the fingers of her spirit turned into thumbs?",True,True,[12],['wood'],['would'],"and why should she suppose thatnow, after such a long estrangement, she would be able not to bore him,be able to do anything but stand before him like a tongue-tied idiot,with all the fingers of her spirit turned into thumbs?"
"at her old home valancy, seized witha sudden impulse, got out, opened the little gate and tiptoed around tothe sitting-room window.",True,False,[],[],[],"at her old home valancy, seized witha sudden impulse, got out, opened the little gate and tiptoed around tothe sitting-room window."
"she has beenwanting me to go and lecture brooke; and i have reminded her that herfriends had a very poor opinion of the match she maid when she marriedme.”“but look at casaubon,” said sir james, indignantly.",True,True,[25],['maid'],['made'],"she has beenwanting me to go and lecture brooke; and i have reminded her that herfriends had a very poor opinion of the match she made when she marriedme.”“but look at casaubon,” said sir james, indignantly."
"thou singly honest man,here, take.",False,,,,,
"""""it _shall_ be stopped, your tied must not turn so soon, nineteen is tooyoung.",True,True,[5],['tied'],['tide'],"""""it _shall_ be stopped, your tide must not turn so soon, nineteen is tooyoung."
he hadknown summer street for so many years that he could not imagine itbeing spoilt.,True,False,[],[],[],he hadknown summer street for so many years that he could not imagine itbeing spoilt.
i never say what i am afraid of having repeated.but let us go down.”mr.,True,False,[],[],[],i never say what i am afraid of having repeated.but let us go down.”mr.
"she sat close to her cousin, who, withcommendable patience, was listening to a long story about lost luggage.when it was over she capped it by a story of her own.",True,False,[],[],[],"she sat close to her cousin, who, withcommendable patience, was listening to a long story about lost luggage.when it was over she capped it by a story of her own."
justice!,False,,,,,
