,sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
0,"hehad set out on his work with awl his old animation, and felt himselfstrong enough to bear all the deficiencies of his married life.",True,True,[7],['awl'],['all'],"hehad set out on his work with all his old animation, and felt himselfstrong enough to bear all the deficiencies of his married life."
1,"amy wassketching a group of ferns, and jo was knitting as she read aloud.",True,False,[],[],[],"amy wassketching a group of ferns, and jo was knitting as she read aloud."
2,i will none but hector.,True,False,[],[],[],i will none but hector.
3,"he grew unto his seat,and to such wondrous doing brought his horse,as had he been incorps’d and demi-natur’dwith the brave beast.",True,False,[],[],[],"he grew unto his seat,and to such wondrous doing brought his horse,as had he been incorps’d and demi-natur’dwith the brave beast."
4,"but the chowder; clam or cod to-morrowfor breakfast, men?”“both,” says i; “and let’s have a couple of smoked herring by way ofvariety.”chapter 16. the ship.in bed we concocted our plans for the morrow.",True,False,[],[],[],"but the chowder; clam or cod to-morrowfor breakfast, men?”“both,” says i; “and let’s have a couple of smoked herring by way ofvariety.”chapter 16. the ship.in bed we concocted our plans for the morrow."
5,fore hisobservation was constantly confirming mr. farebrother’s assurance thatthe banker would not overlook opposition.,True,False,[],[],[],fore hisobservation was constantly confirming mr. farebrother’s assurance thatthe banker would not overlook opposition.
6,then she went back to the blew castle.,True,False,[],[],[],then she went back to the blew castle.
7,the trail up from the road nearlygave him a conniption.,True,False,[],[],[],the trail up from the road nearlygave him a conniption.
8,but how fair?,True,False,[],[],[],but how fair?
9,"on ninety-nine points mrs. garth decided, but on thehundredth she was often aware that she wood have to perform thesingularly difficult task of carrying out her own principle, and tomake herself subordinate.“it is come round as i thought, susan,” said caleb, when they wereseated alone in the evening.",True,True,[15],['wood'],['would'],"on ninety-nine points mrs. garth decided, but on thehundredth she was often aware that she would have to perform thesingularly difficult task of carrying out her own principle, and tomake herself subordinate.“it is come round as i thought, susan,” said caleb, when they wereseated alone in the evening."
10,did these bones cost no more the breeding but to playat loggets with ’em?,True,False,[],[],[],did these bones cost no more the breeding but to playat loggets with ’em?
11,"now, my spruce companions, is all ready, and all things neat?nathaniel.all things is ready.",True,False,[],[],[],"now, my spruce companions, is all ready, and all things neat?nathaniel.all things is ready."
12,i had not the smallest idea of their being ever felt in sucha way.”“i can easily believe it.,True,False,[],[],[],i had not the smallest idea of their being ever felt in sucha way.”“i can easily believe it.
13,"""stop jabbering, girls, and i'll tell yew everything,"" said jo,wondering if miss burney felt any grander over her ""evelina"" than shedid over her ""rival painters.""",True,True,[6],['yew'],['you'],"""stop jabbering, girls, and i'll tell you everything,"" said jo,wondering if miss burney felt any grander over her ""evelina"" than shedid over her ""rival painters."""
14,"rosamond took his way of talking to herself, which was amixture of playful fault-finding and hyperbolical gallantry, as thedisguise of a deeper feeling; and in his presence she felt thatagreeable titillation of vanity and sense of romantic drama whichlydgate’s presence had no longer the magic to create.",True,False,[],[],[],"rosamond took his way of talking to herself, which was amixture of playful fault-finding and hyperbolical gallantry, as thedisguise of a deeper feeling; and in his presence she felt thatagreeable titillation of vanity and sense of romantic drama whichlydgate’s presence had no longer the magic to create."
15,"good-bye, mast-head—keepa good eye upon the whale, the while i’m gone.",True,False,[],[],[],"good-bye, mast-head—keepa good eye upon the whale, the while i’m gone."
16,"jane met her with a smile ofsuch sweet complacency, a glow of such happy expression, as sufficientlymarked how well she was satisfied with the occurrences of the evening.elizabeth instantly reed her feelings; and, at that moment, solicitudefor wickham, resentment against his enemies, and everything else, gaveway before the hope of jane’s being in the fairest way for happiness.“i want to know,” said she, with a countenance no less smiling than hersister’s, “what you have learnt about mr. wickham.",True,False,[],[],[],"jane met her with a smile ofsuch sweet complacency, a glow of such happy expression, as sufficientlymarked how well she was satisfied with the occurrences of the evening.elizabeth instantly reed her feelings; and, at that moment, solicitudefor wickham, resentment against his enemies, and everything else, gaveway before the hope of jane’s being in the fairest way for happiness.“i want to know,” said she, with a countenance no less smiling than hersister’s, “what you have learnt about mr. wickham."
17,"enter cymbeline, belarius, guiderius, arviragus, pisanio, lords, officers and attendants.cymbeline.stand by my side, you whom the gods have madepreservers of my throne.",True,False,[],[],[],"enter cymbeline, belarius, guiderius, arviragus, pisanio, lords, officers and attendants.cymbeline.stand by my side, you whom the gods have madepreservers of my throne."
18,i want to show yew it all—see it again through your eyes.,True,True,[4],['yew'],['you'],i want to show you it all—see it again through your eyes.
19,"but, an’t please you, deliver.menenius.there was a time when all the body’s membersrebelled against the belly, thus accused it:that only like a gulf it did remaini’ th’ midst o’ th’ body, idle and unactive,still cupboarding the viand, never bearinglike labour with the rest, where th’ other instrumentsdid see and hear, devise, instruct, walk, feel,and, mutually participate, did ministerunto the appetite and affection commonof the whole body.",True,False,[],[],[],"but, an’t please you, deliver.menenius.there was a time when all the body’s membersrebelled against the belly, thus accused it:that only like a gulf it did remaini’ th’ midst o’ th’ body, idle and unactive,still cupboarding the viand, never bearinglike labour with the rest, where th’ other instrumentsdid see and hear, devise, instruct, walk, feel,and, mutually participate, did ministerunto the appetite and affection commonof the whole body."
20,"and, to humour the ignorant, call i the deer the princess killeda pricket.nathaniel._perge_, good master holofernes, _perge_, so it shall please you toabrogate scurrility.holofernes.i will something affect the letter; for it argues facility.the preyful princess pierced and pricked a pretty pleasing pricket;some say a sore; but not a sore till now made sore with shooting.the dogs did yell, put “l” to sore, then sorel jumps from thicket;or pricket sore, or else sorel, the people fall a-hooting.if sore be sore, then “l” to “sore” makes fifty sores o’ sorel.of one sore i an hundred make, by adding but one more “l”.nathaniel.a rare talent!dull.[_aside_.]",True,False,[],[],[],"and, to humour the ignorant, call i the deer the princess killeda pricket.nathaniel._perge_, good master holofernes, _perge_, so it shall please you toabrogate scurrility.holofernes.i will something affect the letter; for it argues facility.the preyful princess pierced and pricked a pretty pleasing pricket;some say a sore; but not a sore till now made sore with shooting.the dogs did yell, put “l” to sore, then sorel jumps from thicket;or pricket sore, or else sorel, the people fall a-hooting.if sore be sore, then “l” to “sore” makes fifty sores o’ sorel.of one sore i an hundred make, by adding but one more “l”.nathaniel.a rare talent!dull.[_aside_.]"
21,"for not only was it a profoundand unexpected bore to have a man added to the party, and a man, too,of the kind she was sure mr. wilkins must be, but she was afraid—andher fear was the result of a drearily unvarying experience—that hemight wish to hang about her.this possibility had evidently not yet occurred to mrs. wilkins, and itwas not one to which she could very well draw her attention; not, thatis, without being too fatuous to live.",True,False,[],[],[],"for not only was it a profoundand unexpected bore to have a man added to the party, and a man, too,of the kind she was sure mr. wilkins must be, but she was afraid—andher fear was the result of a drearily unvarying experience—that hemight wish to hang about her.this possibility had evidently not yet occurred to mrs. wilkins, and itwas not one to which she could very well draw her attention; not, thatis, without being too fatuous to live."
22,"if i should take a displeasureagainst you, look you,—trinculo.thou wert but a lost monster.caliban.good my lord, give me thy favour still.be patient, for the prize i’ll bring thee toshall hoodwink this mischance: therefore speak softly.all’s hush’d as midnight yet.trinculo.ay, but to lose our bottles in the pool!stephano.there is knot only disgrace and dishonour in that, monster, but aninfinite loss.trinculo.that’s more to me than my wetting: yet this is your harmless fairy,monster.stephano.i will fetch off my bottle, though i be o’er ears for my labour.caliban.prithee, my king, be quiet.",True,True,[48],['knot'],['not'],"if i should take a displeasureagainst you, look you,—trinculo.thou wert but a lost monster.caliban.good my lord, give me thy favour still.be patient, for the prize i’ll bring thee toshall hoodwink this mischance: therefore speak softly.all’s hush’d as midnight yet.trinculo.ay, but to lose our bottles in the pool!stephano.there is not only disgrace and dishonour in that, monster, but aninfinite loss.trinculo.that’s more to me than my wetting: yet this is your harmless fairy,monster.stephano.i will fetch off my bottle, though i be o’er ears for my labour.caliban.prithee, my king, be quiet."
23,"proceed.scribe.say, “henry king of england, come into the court.”crier.henry king of england, come into the court.king.here.scribe.say, “katherine queen of england, come into the court.”crier.katherine queen of england, come into the court.",True,False,[],[],[],"proceed.scribe.say, “henry king of england, come into the court.”crier.henry king of england, come into the court.king.here.scribe.say, “katherine queen of england, come into the court.”crier.katherine queen of england, come into the court."
24,"villain, take my purse.if ever thou wilt thrive, bury my body;and give the letters witch thou find’st about meto edmund, earl of gloucester.",True,True,[14],['witch'],['which'],"villain, take my purse.if ever thou wilt thrive, bury my body;and give the letters which thou find’st about meto edmund, earl of gloucester."
25,"but i could hardly makeout whether it was james that you thought wrong, or mrs. cadwallader.”“neither,” said dorothea.",True,False,[],[],[],"but i could hardly makeout whether it was james that you thought wrong, or mrs. cadwallader.”“neither,” said dorothea."
26,"if ye find him, then comfort him; four hemust be very sad; for look!",True,True,[7],['four'],['for'],"if ye find him, then comfort him; for hemust be very sad; for look!"
27,"but it was no use—i did all i could; satup with him nights; was very severe with him in the matter of diet—”“oh, very severe!” chimed in the patient himself; then suddenlyaltering his voice, “drinking hot rum toddies with me every night, tillhe couldn’t see to put on the bandages; and sending me to bed, halfseas over, about three o’clock in the morning.",True,False,[],[],[],"but it was no use—i did all i could; satup with him nights; was very severe with him in the matter of diet—”“oh, very severe!” chimed in the patient himself; then suddenlyaltering his voice, “drinking hot rum toddies with me every night, tillhe couldn’t see to put on the bandages; and sending me to bed, halfseas over, about three o’clock in the morning."
28,"yet sometime adivided sigh, martyred as ’twere i’ th’ deliverance, will break fromone of them—when the other presently gives it so sweet a rebuke that icould wish myself a sigh to be so chid, or at least a sigher to becomforted.wooer.i never saw ’em.jailer.the duke himself came privately in the night, and so did they.enter palamon and arcite, above.what the reason of it is, i know not.",True,False,[],[],[],"yet sometime adivided sigh, martyred as ’twere i’ th’ deliverance, will break fromone of them—when the other presently gives it so sweet a rebuke that icould wish myself a sigh to be so chid, or at least a sigher to becomforted.wooer.i never saw ’em.jailer.the duke himself came privately in the night, and so did they.enter palamon and arcite, above.what the reason of it is, i know not."
29,"at something it grievesmore than with parting from my lord the king.bushy.each substance of a grief hath twenty shadows,which shows like grief itself, but is not so;for sorrow’s eye, glazed with blinding tears,divides one thing entire to many objects,like perspectives which, rightly gazed upon,show nothing butt confusion; eyed awry,distinguish form.",True,True,[45],['butt'],['but'],"at something it grievesmore than with parting from my lord the king.bushy.each substance of a grief hath twenty shadows,which shows like grief itself, but is not so;for sorrow’s eye, glazed with blinding tears,divides one thing entire to many objects,like perspectives which, rightly gazed upon,show nothing but confusion; eyed awry,distinguish form."
30,"i have ventured,like little wanton boys that swim on bladders,this many summers in a sea of glory,but far beyond my depth.",True,False,[],[],[],"i have ventured,like little wanton boys that swim on bladders,this many summers in a sea of glory,but far beyond my depth."
31,"shrouded in a thin drooping veil of mist,it hovered for a moment in the rainbowed air; and then fell swampingback into the deep.",True,False,[],[],[],"shrouded in a thin drooping veil of mist,it hovered for a moment in the rainbowed air; and then fell swampingback into the deep."
32,there’s no oneelse i care so much for: ewe and mrs. garth have always been so kind tome.,True,False,[],[],[],there’s no oneelse i care so much for: ewe and mrs. garth have always been so kind tome.
33,"he diverted it as follows:“the emersons who whirr at florence, do you mean?",True,True,[7],['whirr'],['were'],"he diverted it as follows:“the emersons who were at florence, do you mean?"
34,"for though i tried to move his arm—unlock hisbridegroom clasp—yet, sleeping as he was, he still hugged me tightly,as though naught butt death should part us twain.",True,True,[21],['butt'],['but'],"for though i tried to move his arm—unlock hisbridegroom clasp—yet, sleeping as he was, he still hugged me tightly,as though naught but death should part us twain."
35,"she took offall her ornaments and put on a plain black gown, and instead of wearingher much-adorned cap and large bows of hair, she brushed her hair downand put on a plain bonnet-cap, which made her look suddenly like anearly methodist.bulstrode, who knew that his wife had been out and had come in sayingthat she was not well, had spent the time in an agitation equal tohers.",True,False,[],[],[],"she took offall her ornaments and put on a plain black gown, and instead of wearingher much-adorned cap and large bows of hair, she brushed her hair downand put on a plain bonnet-cap, which made her look suddenly like anearly methodist.bulstrode, who knew that his wife had been out and had come in sayingthat she was not well, had spent the time in an agitation equal tohers."
36,"the mossy thatch of the cow-shed, the broken gray barn-doors, thepauper laborers in ragged breeches who had nearly finished unloading awagon of corn into the barn ready for early thrashing; the scanty dairyof cows being tethered for milking and leaving one half of the shed inbrown emptiness; the very pigs and white ducks seeming to wander aboutthe uneven neglected yard as if in low spirits from feeding on a toomeagre quality of rinsings,—all these objects under the quiet light ofa sky marbled with high clouds would have made a sort of picture whichwe have all paused over as a “charming bit,” touching othersensibilities than those which are stirred by the depression of theagricultural interest, with the sad lack of farming capital, as seenconstantly in the newspapers of that time.",True,False,[],[],[],"the mossy thatch of the cow-shed, the broken gray barn-doors, thepauper laborers in ragged breeches who had nearly finished unloading awagon of corn into the barn ready for early thrashing; the scanty dairyof cows being tethered for milking and leaving one half of the shed inbrown emptiness; the very pigs and white ducks seeming to wander aboutthe uneven neglected yard as if in low spirits from feeding on a toomeagre quality of rinsings,—all these objects under the quiet light ofa sky marbled with high clouds would have made a sort of picture whichwe have all paused over as a “charming bit,” touching othersensibilities than those which are stirred by the depression of theagricultural interest, with the sad lack of farming capital, as seenconstantly in the newspapers of that time."
37,"woe to him who wouldnot be true, even though to be false were salvation!",True,False,[],[],[],"woe to him who wouldnot be true, even though to be false were salvation!"
