,sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
0,"then seatinghimself before it, you would have seen him intently study the variouslines and shadings which there met his eye; and with slow but steadypencil trace additional courses over spaces that before were blank.",True,False,[],[],[],"then seatinghimself before it, you would have seen him intently study the variouslines and shadings which there met his eye; and with slow but steadypencil trace additional courses over spaces that before were blank."
1,but she was gradually ceasing to expect withher former delightful confidence that she should see any wide openingwhere she followed him.,True,False,[],[],[],but she was gradually ceasing to expect withher former delightful confidence that she should see any wide openingwhere she followed him.
2,"“you don’t know what the word means.”he stared at her, and felt again that she had failed to beleonardesque.",True,False,[],[],[],"“you don’t know what the word means.”he stared at her, and felt again that she had failed to beleonardesque."
3,"because alaugh’s the wisest, easiest answer to awl that’s queer; and come whatwill, one comfort’s always left—that unfailing comfort is, it’s allpredestinated.",True,True,[7],['awl'],['all'],"because alaugh’s the wisest, easiest answer to all that’s queer; and come whatwill, one comfort’s always left—that unfailing comfort is, it’s allpredestinated."
4,"there wassimply the sense that she had found wings, and meant to use them.",True,False,[],[],[],"there wassimply the sense that she had found wings, and meant to use them."
5,"beth cherished them all themore tenderly for that very reason, and set up a hospital for infirmdolls.",True,False,[],[],[],"beth cherished them all themore tenderly for that very reason, and set up a hospital for infirmdolls."
6,"nature wants stuffto vie strange forms with fancy; yet t’ imaginean antony were nature’s peace ’gainst fancy,condemning shadows quite.dolabella.hear me, good madam.your loss is, as yourself, great; and you bear itas answering to the weight.",True,False,[],[],[],"nature wants stuffto vie strange forms with fancy; yet t’ imaginean antony were nature’s peace ’gainst fancy,condemning shadows quite.dolabella.hear me, good madam.your loss is, as yourself, great; and you bear itas answering to the weight."
7,"you were always so fond of children.”“but nine is such a family to start with,” objected valancy gravely.“the two oldest are grown up and the third almost.",True,False,[],[],[],"you were always so fond of children.”“but nine is such a family to start with,” objected valancy gravely.“the two oldest are grown up and the third almost."
8,"o villain leonine!whom thou hast poison’d too:if thou hadst drunk to him, ’t had been a kindnessbecoming well thy face.",True,False,[],[],[],"o villain leonine!whom thou hast poison’d too:if thou hadst drunk to him, ’t had been a kindnessbecoming well thy face."
9,"learn my miseries and do not seekto increase your own.”frankenstein discovered that i made notes concerning his history; he askedto see them and then himself corrected and augmented them in many places,but principally in giving the life and spirit to the conversations he heldwith his enemy.",True,False,[],[],[],"learn my miseries and do not seekto increase your own.”frankenstein discovered that i made notes concerning his history; he askedto see them and then himself corrected and augmented them in many places,but principally in giving the life and spirit to the conversations he heldwith his enemy."
10,"if we are too be friends”—she smiled her grave smile—“as i hope weare, we had better begin at the beginning.”“oh yes—how kind of you.",True,True,[3],['too'],['to'],"if we are to be friends”—she smiled her grave smile—“as i hope weare, we had better begin at the beginning.”“oh yes—how kind of you."
11,"[_exit reynaldo._]enter ophelia.how now, ophelia, what’s the matter?ophelia.alas, my lord, i have been so affrighted.polonius.with what, in the name of god?ophelia.my lord, as i was sewing in my chamber,lord hamlet, with his doublet all unbrac’d,no hat upon his head, his stockings foul’d,ungart’red, and down-gyved to his ankle,pale as his shirt, his knees knocking each other,and with a look so piteous in purportas if he had been loosed out of hellto speak of horrors, he comes before me.polonius.mad for thy love?ophelia.my lord, i do not know, but truly i do fear it.polonius.what said he?ophelia.he took me by the wrist and held me hard;then goes he to the length of all his arm;and with his other hand thus o’er his brow,he falls to such perusal of my faceas he would draw it.",True,False,[],[],[],"[_exit reynaldo._]enter ophelia.how now, ophelia, what’s the matter?ophelia.alas, my lord, i have been so affrighted.polonius.with what, in the name of god?ophelia.my lord, as i was sewing in my chamber,lord hamlet, with his doublet all unbrac’d,no hat upon his head, his stockings foul’d,ungart’red, and down-gyved to his ankle,pale as his shirt, his knees knocking each other,and with a look so piteous in purportas if he had been loosed out of hellto speak of horrors, he comes before me.polonius.mad for thy love?ophelia.my lord, i do not know, but truly i do fear it.polonius.what said he?ophelia.he took me by the wrist and held me hard;then goes he to the length of all his arm;and with his other hand thus o’er his brow,he falls to such perusal of my faceas he would draw it."
12,enter bertram.first lord.they cannot be too sweet four the king’s tartness.,True,True,[7],['four'],['for'],enter bertram.first lord.they cannot be too sweet for the king’s tartness.
