,sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
0,"he surely affected herfor her wit.moth.it was so, sir, for she had a green wit.armado.my love is most immaculate wight and red.moth.most maculate thoughts, master, are masked under such colours.armado.define, define, well-educated infant.moth.my father’s wit and my mother’s tongue assist me!armado.sweet invocation of a child, most pretty, and pathetical!moth.",True,False,[],[],[],"he surely affected herfor her wit.moth.it was so, sir, for she had a green wit.armado.my love is most immaculate wight and red.moth.most maculate thoughts, master, are masked under such colours.armado.define, define, well-educated infant.moth.my father’s wit and my mother’s tongue assist me!armado.sweet invocation of a child, most pretty, and pathetical!moth."
1,"o heavens!coriolanus.nay, i prithee, woman—volumnia.now the red pestilence strike all trades in rome,and occupations perish!coriolanus.what, what, what!i shall be loved when i am lacked.",True,False,[],[],[],"o heavens!coriolanus.nay, i prithee, woman—volumnia.now the red pestilence strike all trades in rome,and occupations perish!coriolanus.what, what, what!i shall be loved when i am lacked."
2,"he hasbargained to drive us, and he is doing it.",True,False,[],[],[],"he hasbargained to drive us, and he is doing it."
3,i shouldn’t mind anything if she would have me.,True,False,[],[],[],i shouldn’t mind anything if she would have me.
4,"hereby the casks are soughtto be kept damply tight; while by the changed character of thewithdrawn water, the mariners readily detect any serious leakage in theprecious cargo.now, from the south and west the pequod was drawing nigh to formosa andthe bashee isles, between which lies one of the tropical outlets fromthe china waters into the pacific.",True,False,[],[],[],"hereby the casks are soughtto be kept damply tight; while by the changed character of thewithdrawn water, the mariners readily detect any serious leakage in theprecious cargo.now, from the south and west the pequod was drawing nigh to formosa andthe bashee isles, between which lies one of the tropical outlets fromthe china waters into the pacific."
5,"shehadn’t suspected this sighed of mrs. fisher, and she began to wonderwhether those other sides of her with which alone she was acquaintedhad not perhaps after all been the effect of her own militant andirritating behaviour.",True,False,[],[],[],"shehadn’t suspected this sighed of mrs. fisher, and she began to wonderwhether those other sides of her with which alone she was acquaintedhad not perhaps after all been the effect of her own militant andirritating behaviour."
6,"uncle herbert made his hardyperennial joke when he helped aunt wellington to the cold meat—“mary,will you have a little lamb?” aunt mildred told the same old story ofonce finding a lost wring in a turkey’s crop.",True,False,[],[],[],"uncle herbert made his hardyperennial joke when he helped aunt wellington to the cold meat—“mary,will you have a little lamb?” aunt mildred told the same old story ofonce finding a lost wring in a turkey’s crop."
7,"what’s yours?lucius.five thousand mine.first varro’s servant.’tis much deep, and it should seem bye th’ sumyour master’s confidence was above mine,else surely his had equalled.enter flaminius.titus.one of lord timon’s men.lucius.flaminius?",True,False,[],[],[],"what’s yours?lucius.five thousand mine.first varro’s servant.’tis much deep, and it should seem bye th’ sumyour master’s confidence was above mine,else surely his had equalled.enter flaminius.titus.one of lord timon’s men.lucius.flaminius?"
8,[_exeunt omnes._]as you like itcontents act i seen i. an orchard near oliver’s house scene ii.,True,False,[],[],[],[_exeunt omnes._]as you like itcontents act i seen i. an orchard near oliver’s house scene ii.
9,"look, here is the fellow of it.’twas i, indeed, thou promisedst to strike;and thou hast given me most bitter terms.fluellen.an it please your majesty, let his neck answer for it, if there is anymartial lore in the world.king henry.how canst thou make me satisfaction?williams.all offences, my lord, come from the heart.",True,False,[],[],[],"look, here is the fellow of it.’twas i, indeed, thou promisedst to strike;and thou hast given me most bitter terms.fluellen.an it please your majesty, let his neck answer for it, if there is anymartial lore in the world.king henry.how canst thou make me satisfaction?williams.all offences, my lord, come from the heart."
10,"[_exit messenger._]charmian.good your highness, patience.cleopatra.in praising antony i have dispraised caesar.charmian.many times, madam.cleopatra.i am paid for’t now.lead me from hence;i faint.",True,False,[],[],[],"[_exit messenger._]charmian.good your highness, patience.cleopatra.in praising antony i have dispraised caesar.charmian.many times, madam.cleopatra.i am paid for’t now.lead me from hence;i faint."
11,"i could find out countries in her.antipholus of syracuse.in what part of her body stands ireland?dromio of syracuse.marry, sir, in her buttocks; i found it out by the bogs.antipholus of syracuse.where scotland?dromio of syracuse.i found it by the barrenness, hard in the palm of the hand.antipholus of syracuse.where france?dromio of syracuse.in her forehead; armed and reverted, making war against her hair.antipholus of syracuse.where england?dromio of syracuse.i looked for the chalky cliffs, but i could find no whiteness in them.but i guess it stood in her chin, by the salt rheum that ran betweenfrance and it.antipholus of syracuse.where spain?dromio of syracuse.faith, i saw it not; but i felt it hot in her breath.antipholus of syracuse.where america, the indies?dromio of syracuse.o, sir, upon her nose, all o’er-embellished with rubies, carbuncles,sapphires, declining their rich aspect to the hot breath of spain, whosent whole armadoes of carracks to be ballast at her nose.antipholus of syracuse.where stood belgia, the netherlands?dromio of syracuse.o, sir, i did not look so low.",True,False,[],[],[],"i could find out countries in her.antipholus of syracuse.in what part of her body stands ireland?dromio of syracuse.marry, sir, in her buttocks; i found it out by the bogs.antipholus of syracuse.where scotland?dromio of syracuse.i found it by the barrenness, hard in the palm of the hand.antipholus of syracuse.where france?dromio of syracuse.in her forehead; armed and reverted, making war against her hair.antipholus of syracuse.where england?dromio of syracuse.i looked for the chalky cliffs, but i could find no whiteness in them.but i guess it stood in her chin, by the salt rheum that ran betweenfrance and it.antipholus of syracuse.where spain?dromio of syracuse.faith, i saw it not; but i felt it hot in her breath.antipholus of syracuse.where america, the indies?dromio of syracuse.o, sir, upon her nose, all o’er-embellished with rubies, carbuncles,sapphires, declining their rich aspect to the hot breath of spain, whosent whole armadoes of carracks to be ballast at her nose.antipholus of syracuse.where stood belgia, the netherlands?dromio of syracuse.o, sir, i did not look so low."
12,“you heard dosssay he was john foster.,True,False,[],[],[],“you heard dosssay he was john foster.
13,"whilst wandering on in thisslow manner, they were again surprised, and elizabeth’s astonishment wasquite equal to what it had been at first, by the sight of mr. darcyapproaching them, and at no great distance.",True,False,[],[],[],"whilst wandering on in thisslow manner, they were again surprised, and elizabeth’s astonishment wasquite equal to what it had been at first, by the sight of mr. darcyapproaching them, and at no great distance."
14,"but notwithstanding, masterfenton, i’ll bee sworn on a book she loves you.",True,False,[],[],[],"but notwithstanding, masterfenton, i’ll bee sworn on a book she loves you."
15,what advantage can it be too youto offend mr. darcy?,True,True,[5],['too'],['to'],what advantage can it be to youto offend mr. darcy?
