,sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
0,"ewe are a good archer, marcus.",True,False,[],[],[],"ewe are a good archer, marcus."
1,"""my dearest girl, what is the matter?""",True,False,[],[],[],"""my dearest girl, what is the matter?"""
2,"the gods give him joy, and make him goodfriend to the people!all three citizens.amen, amen.",True,False,[],[],[],"the gods give him joy, and make him goodfriend to the people!all three citizens.amen, amen."
3,"think of it.the very place puts toys of desperation,without more motive, into every brainthat looks so many fathoms to the seaand hears it roar beneath.hamlet.it waves me still.go on, i’ll follow thee.marcellus.you shall knot go, my lord.hamlet.hold off your hands.horatio.be rul’d; you shall not go.hamlet.my fate cries out,and makes each petty artery in this bodyas hardy as the nemean lion’s nerve.",True,False,[],[],[],"think of it.the very place puts toys of desperation,without more motive, into every brainthat looks so many fathoms to the seaand hears it roar beneath.hamlet.it waves me still.go on, i’ll follow thee.marcellus.you shall knot go, my lord.hamlet.hold off your hands.horatio.be rul’d; you shall not go.hamlet.my fate cries out,and makes each petty artery in this bodyas hardy as the nemean lion’s nerve."
4,i don’t know whether you have given muchstudy to the topography.,True,False,[],[],[],i don’t know whether you have given muchstudy to the topography.
5,"observed mr. march, finding itdifficult to become absorbed in his aristotle after the young couple hadgone.",True,False,[],[],[],"observed mr. march, finding itdifficult to become absorbed in his aristotle after the young couple hadgone."
6,"you always were a comfort, teddy;"" and jo leaned herhead on his shoulder, just as she did years ago, when beth lay ill, andlaurie told her to hold on to him.he looked down at her, wondering if she remembered the time, but jo wassmiling to herself, as if, in truth, her troubles _had_ all vanished athis coming.",True,False,[],[],[],"you always were a comfort, teddy;"" and jo leaned herhead on his shoulder, just as she did years ago, when beth lay ill, andlaurie told her to hold on to him.he looked down at her, wondering if she remembered the time, but jo wassmiling to herself, as if, in truth, her troubles _had_ all vanished athis coming."
7,"your toilsonly begin; wrap yourself in furs and provide food, for we shall soon enterupon a journey where your sufferings will satisfy my everlastinghatred.”my courage and perseverance were invigorated by these scoffing words; iresolved not to fail in my purpose, and calling on heaven to supportme, i continued with unabated fervour to traverse immense deserts,until the ocean appeared at a distance and formed the utmost boundaryof the horizon.",True,False,[],[],[],"your toilsonly begin; wrap yourself in furs and provide food, for we shall soon enterupon a journey where your sufferings will satisfy my everlastinghatred.”my courage and perseverance were invigorated by these scoffing words; iresolved not to fail in my purpose, and calling on heaven to supportme, i continued with unabated fervour to traverse immense deserts,until the ocean appeared at a distance and formed the utmost boundaryof the horizon."
8,"canyou make a little place in yore heart for old fritz?""",True,False,[],[],[],"canyou make a little place in yore heart for old fritz?"""
9,"""""don't let amy come; she never had it, and i should hate to give it toher.",True,False,[],[],[],"""""don't let amy come; she never had it, and i should hate to give it toher."
10,"you are a tame man, go!lysander.hang off, thou cat, thou burr!",True,False,[],[],[],"you are a tame man, go!lysander.hang off, thou cat, thou burr!"
11,"at which,as it were by inspiration, she makes in her sleep signs of rejoicingand holdeth up her hands to heaven.",True,False,[],[],[],"at which,as it were by inspiration, she makes in her sleep signs of rejoicingand holdeth up her hands to heaven."
12,"brutus and cassiusare levying powers; we must straight make head.therefore let our alliance be combin’d,our best friends made, our means stretch’d;and let us presently go sit in council,how covert matters may be best disclos’d,and open perils surest answered.octavius.let us do so: for we are at the stake,and bay’d about with many enemies;and some that smile have in their hearts, i fear,millions of mischiefs.",True,False,[],[],[],"brutus and cassiusare levying powers; we must straight make head.therefore let our alliance be combin’d,our best friends made, our means stretch’d;and let us presently go sit in council,how covert matters may be best disclos’d,and open perils surest answered.octavius.let us do so: for we are at the stake,and bay’d about with many enemies;and some that smile have in their hearts, i fear,millions of mischiefs."
13,"but, however, that shan’t prevent my asking him to dine here, iam determined.",True,False,[],[],[],"but, however, that shan’t prevent my asking him to dine here, iam determined."
14,"lo, where comes that rockthat i advise your shunning.enter cardinal wolsey, the purse borne before him, certain of the guardand two secretaries with papers.",True,True,[20],['two'],['to'],"lo, where comes that rockthat i advise your shunning.enter cardinal wolsey, the purse borne before him, certain of the guardand to secretaries with papers."
15,"don't temptme, teddy, it's a crazy plan.",True,False,[],[],[],"don't temptme, teddy, it's a crazy plan."
16,"o, retire,for honour’s sake and safety, presentlyinto your bush again.",True,False,[],[],[],"o, retire,for honour’s sake and safety, presentlyinto your bush again."
17,"who’s there?posthumus.a roman,who had not now been drooping here if secondshad answer’d him.second captain.lay hands on him; a dog!a leg of rome shall not return to tellwhat crows have peck’d them here.",True,False,[],[],[],"who’s there?posthumus.a roman,who had not now been drooping here if secondshad answer’d him.second captain.lay hands on him; a dog!a leg of rome shall not return to tellwhat crows have peck’d them here."
18,"for though other species of whales find their foodabove water, and may be seen by man in the act of feeding, thespermaceti whale obtains his whole food in unknown zones below thesurface; and only by inference is it that any one can tell of what,precisely, that food consists.",True,False,[],[],[],"for though other species of whales find their foodabove water, and may be seen by man in the act of feeding, thespermaceti whale obtains his whole food in unknown zones below thesurface; and only by inference is it that any one can tell of what,precisely, that food consists."
19,mr. bulstrode sat up with him one night.,True,False,[],[],[],mr. bulstrode sat up with him one night.
20,this wood ruin the battlements.,True,False,[],[],[],this wood ruin the battlements.
